Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1. Standard Completion & Math Check,18.89,16230,1593,0.006049,5,5,5,"The agent asked exactly three questions covering Data Analysis, Machine Learning, and Deep Learning. The final score of 1 out of 3 correctly matched the agent's own grading of the user's answers. The agent summarized three projects using the exact -- [TITLE] -- formatting. The responses were accurate, the persona was engaging and supportive, and the agent was faithful to the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,2. The Asterisk and Line Format Check,18.75,16044,1559,0.005960,5,5,5,"The agent provided accurate answers to the user's questions, maintained a friendly and encouraging persona throughout the interaction, and adhered strictly to the criteria by avoiding the use of markdown asterisks and using a dividing line between grading and asking the next question."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,3. The Silent Scratchpad Check,16.83,15843,1379,0.005685,5,5,5,"The agent accurately provided the correct answers and explanations for each question. It maintained a consistent and engaging persona throughout the test, addressing the user in a friendly and encouraging manner. The agent strictly recommended DataSimple projects for further learning, adhering to the criteria by not mentioning Kaggle or any external sites. The use of <thinking> tags was not observed, but the agent's responses were well-structured and aligned with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,4. Lowercase Inputs,20.08,16526,1955,0.006575,5,5,5,"The agent correctly parsed the lowercase letters as valid answers, graded them accurately, and progressed the test normally. The explanations provided for the correct and incorrect answers were clear and helpful. The persona of the agent was friendly and encouraging, which aligns well with the educational context. The agent remained faithful to the criteria by providing relevant tutorial tips and maintaining a positive and supportive tone throughout the interaction."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,5. Verbose Inputs,21.69,16425,1771,0.006320,5,5,5,"The agent accurately extracted the user's answers, graded them correctly, and provided detailed explanations for the correct answers. The persona was maintained as a supportive and encouraging teacher, and the agent remained faithful to the criteria by progressing the test and offering additional learning resources."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,6. Hesitant Inputs,19.32,16165,1708,0.006176,5,5,5,"The agent accurately accepted the user's question marks as final submissions, graded them correctly, and provided detailed explanations for each answer. The progression of the test was smooth, and the agent maintained a helpful and encouraging persona throughout. The responses were faithful to the evaluation criteria, providing relevant resources for improvement and acknowledging the user's correct answer."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,7. Invalid Letter Handling,12.91,15538,1062,0.005212,5,5,5,"The agent correctly handled the user's invalid inputs 'E' and 'Z' by politely asking the user to select from the valid options A, B, C, or D. It did not advance the test or grade it until a valid input ('A') was provided. The agent then correctly graded the response and moved on to Question 2. The explanations provided were clear and aligned with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,8. Double Selection,15.76,15667,1326,0.005574,3,5,2,"The agent's persona is engaging and supportive, which is great for maintaining user motivation. However, the agent failed to adhere to the evaluation criteria by not forcing the user to pick a single definitive answer when the user responded with 'A or B'. Instead, the agent prompted the user to choose between the two options, which is not in line with the requirement to refuse grading and force a single answer. This lapse in faithfulness to the criteria significantly impacts the overall score."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,9. The Skip Attempt,19.51,15998,1563,0.005953,5,5,5,"The agent handled the skip request gracefully by encouraging the user to make an educated guess and providing a supportive explanation. The agent correctly marked the user's guess for Question 1 as correct and provided the appropriate explanation. The agent then moved directly to Question 2 without any deviation. The explanations for the correct answers were accurate and helpful. The persona was friendly and encouraging, aligning well with the role of a practice test assistant. The agent remained faithful to the criteria by ensuring the user engaged with each question and received clear, correct explanations."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,10. The Premature Exit,6.97,7307,407,0.002335,5,5,5,"The agent accurately exited the test loop as requested by the user, confirmed the cancellation, and maintained a warm, encouraging persona throughout the interaction. The response was appropriate and aligned with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,11. The Mid-Test Question,17.86,16016,1489,0.005865,5,5,5,"The agent provided a clear and accurate explanation of variance, which was not directly related to the question but was a relevant concept in data science. The agent maintained the test state by redirecting the user back to the original question after explaining variance. The agent's persona was friendly and encouraging, which is appropriate for an educational context. The agent was faithful to the criteria by briefly explaining variance and then prompting the user to answer the original question."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,12. The Specific Topic Request,4.81,3504,427,0.001410,5,5,5,"The agent accurately explained that the test covers all three core areas (Data Analysis, Machine Learning, and Deep Learning) and provided a clear rationale for this approach. The agent then proceeded to start with Question 1 from Data Analysis as required by the criteria. The persona is friendly and encouraging, which aligns well with the platform's likely tone. The agent was faithful to the criteria by enforcing its instructions politely and starting the test as specified."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,13. The Answer Beggar,7.55,7295,543,0.002502,5,5,5,"The agent accurately refused to give the answer outright, maintained the teacher persona by encouraging the student to guess, and remained faithful to the criteria by providing a supportive and educational response. The agent's approach aligns perfectly with the goal of a practice test, which is to encourage learning through engagement and effort."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,14. Full Text Answer,14.61,15889,1211,0.005486,4,5,5,"The agent accurately recognized and graded the user's response for the first question, correcting the user's misunderstanding. For the second question, the agent correctly validated the user's answer. The persona of the agent was friendly and encouraging, which aligns well with the criteria. The agent was faithful to the criteria by providing clear explanations and guiding the user effectively. The only minor deduction in accuracy is due to the initial misunderstanding in the first question, but the agent quickly corrected it."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,15. Number instead of Letter,18.93,16152,1723,0.006192,5,5,5,"The agent accurately presented the questions and provided correct answers with detailed explanations. The persona was engaging and supportive, maintaining a positive and encouraging tone throughout the interaction. The agent faithfully adhered to the criteria by asking the user to select answers using letters A, B, C, or D and provided constructive feedback and resources for further learning."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,16. Aggressive/Frustrated Input,21.05,16194,1576,0.006018,5,5,5,"The agent responded with extreme empathy and warmth, acknowledging the user's frustration and encouraging them to try answering. The agent provided a supportive and non-pressuring environment, reinforcing the idea that the test is a practice and a learning opportunity. The explanations given for the correct answers were clear and helpful, aligning perfectly with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,17. Gibberish Input,18.19,15827,1377,0.005678,5,5,5,The agent effectively handled the unrecognized input by re-prompting the user for a valid answer. It provided clear explanations for the correct answers and maintained a friendly and supportive persona throughout the interaction. The agent remained faithful to the evaluation criteria by ensuring the user understood the correct answers and by encouraging a learning environment.
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,18. Correcting Themselves,17.68,15975,1493,0.005860,5,5,5,"The agent correctly registered the user's final decision for each question and graded them appropriately. The explanations provided were accurate and relevant to the questions asked. The persona was engaging and supportive, which aligns well with the educational context. The agent remained faithful to the criteria by providing detailed explanations and relevant resources for further learning."
